課,162,15,4,カ,
蚊,163,10,7,,か
牙,164,4,7,ガ・ゲ,きば
瓦,165,5,7,ガ,かわら
我,166,7,6,ガ,われ・わ
画,167,8,2,ガ・カク,
芽,168,8,4,ガ,め
賀,169,12,4,ガ,
雅,170,13,7,ガ,
餓,171,15,7,ガ,
介,172,4,7,カイ,
回,173,6,2,カイ・エ,まわ:る・まわ:す
灰,174,6,6,カイ,はい
会,175,6,2,カイ・エ,あ:う
快,176,7,5,カイ,こころよ:い
戒,177,7,7,カイ,いまし:める
改,178,7,4,カイ,あらた:める・あらた:まる
怪,179,8,7,カイ,あや:しい・あや:しむ
拐,180,8,7,カイ,
悔,181,9,7,カイ,く:いる・く:やむ・くや:しい
海,182,9,2,カイ,うみ
界,183,9,3,カイ,
皆,184,9,7,カイ,みな
械,185,11,4,カイ,
絵,186,12,2,カイ・エ,
開,187,12,3,カイ,ひら:く・ひら:ける・あ:く・あ:ける
階,188,12,3,カイ,
塊,189,13,7,カイ,かたまり
楷,190,13,7,カイ,
解,191,13,5,カイ・ゲ,と:く・と:かす・と:ける
潰,192,15,7,カイ,つぶ:す・つぶ:れる
壊,193,16,7,カイ,こわ:す・こわ:れる
懐,194,16,7,カイ,ふところ・なつ:かしい・なつ:かしむ・なつ:く・なつ:ける
諧,195,16,7,カイ,
貝,196,7,1,,かい
外,197,5,2,ガイ・ゲ,そと・ほか・はず:す・はず:れる
劾,198,8,7,ガイ,
害,199,10,4,ガイ,
崖,200,11,7,ガイ,がけ
涯,201,11,7,ガイ,
街,202,12,4,ガイ・カイ,まち
慨,203,13,7,ガイ,
蓋,204,13,7,ガイ,ふた
該,205,13,7,ガイ,
概,206,14,7,ガイ,
骸,207,16,7,ガイ,
垣,208,9,7,,かき
柿,209,9,7,,かき
各,210,6,4,カク,おのおの
角,211,7,2,カク,かど・つの
拡,212,8,6,カク,
革,213,9,6,カク,かわ
格,214,10,5,カク・コウ,
核,215,10,7,カク,
殻,216,11,7,カク,から
郭,217,11,7,カク,
覚,218,12,4,カク,おぼ:える・さ:ます・さ:める
較,219,13,7,カク,
隔,220,13,7,カク,へだ:てる・へだ:たる
閣,221,14,6,カク,
確,222,15,5,カク,たし:か・たし:かめる
獲,223,16,7,カク,え:る
嚇,224,17,7,カク,
穫,225,18,7,カク,
学,226,8,1,ガク,まな:ぶ
岳,227,8,7,ガク,たけ
楽,228,13,2,ガク・ラク,たの:しい・たの:しむ
額,229,18,5,ガク,ひたい
顎,230,18,7,ガク,あご
掛,231,11,7,,か:ける・か:かる・かかり
潟,232,15,4,,かた
括,233,9,7,カツ,
活,234,9,2,カツ,
喝,235,11,7,カツ,
渇,236,11,7,カツ,かわ:く
割,237,12,6,カツ,わ:る・わり・わ:れる・さ:く
葛,238,12,7,カツ,くず
滑,239,13,7,カツ・コツ,すべ:る・なめ:らか
褐,240,13,7,カツ,
轄,241,17,7,カツ,
且,242,5,7,,か:つ
株,243,10,6,,かぶ
釜,244,10,7,,かま
鎌,245,18,7,,かま
刈,246,4,7,,か:る
干,247,3,6,カン,ほ:す・ひ:る
刊,248,5,5,カン,
甘,249,5,7,カン,あま:い・あま:える・あま:やかす
汗,250,6,7,カン,あせ
缶,251,6,7,カン,
完,252,7,4,カン,
肝,253,7,7,カン,きも
官,254,8,4,カン,
冠,255,9,7,カン,かんむり
巻,256,9,6,カン,ま:く・まき
看,257,9,6,カン,
陥,258,10,7,カン,おちい:る・おとしい:れる
乾,259,11,7,カン,かわ:く・かわ:かす
勘,260,11,7,カン,
患,261,11,7,カン,わずら:う
貫,262,11,7,カン,つらぬ:く
寒,263,12,3,カン,さむ:い
喚,264,12,7,カン,
堪,265,12,7,カン,た:える
換,266,12,7,カン,か:える・か:わる
敢,267,12,7,カン,
棺,268,12,7,カン,
款,269,12,7,カン,
間,270,12,2,カン・ケン,あいだ・ま
閑,271,12,7,カン,
勧,272,13,7,カン,すす:める
寛,273,13,7,カン,
幹,274,13,5,カン,みき
感,275,13,3,カン,
漢,276,13,3,カン,
慣,277,14,5,カン,な:れる・な:らす
管,278,14,4,カン,くだ
関,279,14,4,カン,せき・かか:わる
歓,280,15,7,カン,
監,281,15,7,カン,
緩,282,15,7,カン,ゆる:い・ゆる:やか・ゆる:む・ゆる:める
憾,283,16,7,カン,
還,284,16,7,カン,
館,285,16,3,カン,やかた
環,286,17,7,カン,
簡,287,18,6,カン,
観,288,18,4,カン,
韓,289,18,7,カン,
艦,290,21,7,カン,
鑑,291,23,7,カン,かんが:みる
丸,292,3,2,ガン,まる・まる:い・まる:める
含,293,7,7,ガン,ふく:む・ふく:める
岸,294,8,3,ガン,きし
岩,295,8,2,ガン,いわ
玩,296,8,7,ガン,
眼,297,11,5,ガン・ゲン,まなこ
頑,298,13,7,ガン,
顔,299,18,2,ガン,かお
願,300,19,4,ガン,ねが:う
企,301,6,7,キ,くわだ:てる
伎,302,6,7,キ,
危,303,6,6,キ,あぶ:ない・あや:うい・あや:ぶむ
机,304,6,6,キ,つくえ
気,305,6,1,キ・ケ,
岐,306,7,4,キ,
希,307,7,4,キ,
忌,308,7,7,キ,い:む・い:まわしい
汽,309,7,2,キ,
奇,310,8,7,キ,
祈,311,8,7,キ,いの:る
季,312,8,4,キ,
紀,313,9,5,キ,
軌,314,9,7,キ,
既,315,10,7,キ,すで:に
記,316,10,2,キ,しる:す
起,317,10,3,キ,お:きる・お:こる・お:こす
飢,318,10,7,キ,う:える
鬼,319,10,7,キ,おに
帰,320,10,2,キ,かえ:る・かえ:す
基,321,11,5,キ,もと・もとい
寄,322,11,5,キ,よ:る・よ:せる
規,323,11,5,キ,
亀,324,11,7,キ,かめ
喜,325,12,5,キ,よろこ:ぶ
幾,326,12,7,キ,いく
揮,327,12,6,キ,
期,328,12,3,キ・ゴ,
棋,329,12,7,キ,
貴,330,12,6,キ,たっと:い・とうと:い・たっと:ぶ・とうと:ぶ
棄,331,13,7,キ,
毀,332,13,7,キ,
旗,333,14,4,キ,はた
器,334,15,4,キ,うつわ
畿,335,15,7,キ,
輝,336,15,7,キ,かがや:く
機,337,16,4,キ,はた
騎,338,18,7,キ,
技,339,7,5,ギ,わざ
宜,340,8,7,ギ,
偽,341,11,7,ギ,いつわ:る・にせ
欺,342,12,7,ギ,あざむ:く
義,343,13,5,ギ,
疑,344,14,6,ギ,うたが:う
儀,345,15,7,ギ,
戯,346,15,7,ギ,たわむ:れる
擬,347,17,7,ギ,
犠,348,17,7,ギ,
議,349,20,4,ギ,
菊,350,11,7,キク,
吉,351,6,7,キチ・キツ,
喫,352,12,7,キツ,
詰,353,13,7,キツ,つ:める・つ:まる・つ:む
却,354,7,7,キャク,
客,355,9,3,キャク・カク,
脚,356,11,7,キャク・キャ,あし
逆,357,9,5,ギャク,さか・さか:らう
虐,358,9,7,ギャク,しいた:げる
九,359,2,1,キュウ・ク,ここの・ここの:つ
久,360,3,5,キュウ・ク,ひさ:しい
及,361,3,7,キュウ,およ:ぶ・およ:び・およ:ぼす
弓,362,3,2,キュウ,ゆみ
丘,363,5,7,キュウ,おか
旧,364,5,5,キュウ,
休,365,6,1,キュウ,やす:む・やす:まる・やす:める
吸,366,6,6,キュウ,す:う
朽,367,6,7,キュウ,く:ちる
臼,368,6,7,キュウ,うす
求,369,7,4,キュウ,もと:める
究,370,7,3,キュウ,きわ:める
泣,371,8,4,キュウ,な:く
急,372,9,3,キュウ,いそ:ぐ
級,373,9,3,キュウ,
糾,374,9,7,キュウ,
宮,375,10,3,キュウ・グウ・ク,みや
救,376,11,5,キュウ,すく:う
球,377,11,3,キュウ,たま
給,378,12,4,キュウ,
嗅,379,13,7,キュウ,か:ぐ
窮,380,15,7,キュウ,きわ:める・きわ:まる
牛,381,4,2,ギュウ,うし
去,382,5,3,キョ・コ,さ:る
巨,383,5,7,キョ,
居,384,8,5,キョ,い:る
拒,385,8,7,キョ,こば:む
拠,386,8,7,キョ・コ,
挙,387,10,4,キョ,あ:げる・あ:がる
虚,388,11,7,キョ・コ,
許,389,11,5,キョ,ゆる:す
距,390,12,7,キョ,
魚,391,11,2,ギョ,うお・さかな
御,392,12,7,ギョ・ゴ,おん
漁,393,14,4,ギョ・リョウ,
凶,394,4,7,キョウ,
共,395,6,4,キョウ,とも
叫,396,6,7,キョウ,さけ:ぶ
狂,397,7,7,キョウ,くる:う・くる:おしい
京,398,8,2,キョウ・ケイ,
享,399,8,7,キョウ,
供,400,8,6,キョウ・ク,そな:える・とも
協,401,8,4,キョウ,
況,402,8,7,キョウ,
